,ELLIP,PHIE,GAMMA,PHIG,ellipticity_true,e2_mass,e1_light,e2_light,gamma1,gamma2
1661,0.08931114,39.92367,0.05919065,155.264,0.07487383,-0.046010981203139484,0.013198122272576749,0.07370142459509871,-0.052234969952206,0.027839557494950165
1662,0.4252311,54.32168,0.04587597,27.35986,0.38208643,-0.25585839655748616,-0.12214403930845052,0.3620371164004605,-0.011711845282895265,-0.04435580349300894
1664,0.1335988,-162.9349,0.1296114,-20.62492,0.11209174,-0.04016231734067039,0.09278558695922623,0.06289191544912158,-0.1189139330165475,0.05156153163450491
1665,0.1468716,49.70305,0.04627174,93.00965,0.15495759,-0.07819041421568222,-0.025324873396078543,0.1528741491753288,-0.0364024863982704,-0.028564539321531836
1667,0.1782941,-146.1017,0.05764242,-47.04501,0.17265835,-0.09061466217963351,0.06524685294099207,0.1598554159420914,0.05692660148400713,0.009055971893586954
1668,0.2597395,-17.11249,0.0540117,-2.727592,0.25712362,0.08394657119435193,0.21259892063881047,-0.14461761616455018,0.03653077598562975,0.0397839935498906
1669,0.5062631,-53.22655,0.06671036,169.1148,0.578391,0.3250455863168313,-0.16381791354348252,-0.5547069857891281,0.03247268654090685,-0.05827346531780659
1671,0.08636096,-155.6762,0.03486796,167.6044,0.08344251,-0.03387667960978305,0.05512950362760232,0.06263697234760225,-0.02051923350076394,0.02819105693482823
1672,0.4069891,131.3094,0.03220489,-152.1137,0.47252432,0.2533670873021925,-0.06070529419046042,-0.4686086856308918,-0.0281523126200071,-0.015639764514131564
1673,0.2895715,-32.17867,0.04053275,174.4988,0.28881884,0.1526236064378037,0.12498840221068308,-0.260373235283057,-0.03894507262350832,-0.011233215964814474
1674,0.615002,-38.60113,0.07995171,164.6085,0.4848291,0.43301447160531237,0.10739451004986518,-0.47278502029776637,-0.06363719706270987,0.048400238449060655
1680,0.3613561,-51.82489,0.02779299,-159.9326,0.35677674,0.2142930992417347,-0.08419448993254966,-0.3467000577877445,0.023289585867634372,0.01516725035245958
1681,0.01542793,162.7219,0.06035742,-178.5796,0.01628131,0.004409486103872403,0.01340880203446938,-0.009234992328990343,0.03350192534825089,0.05020596724510568
1682,0.3156898,-92.13246,0.06210805,29.47598,0.30128378,-0.01393880664692565,-0.3004494809864237,0.022405924798521562,-0.045935952181192403,0.041800695831645016
1683,0.2006774,67.85371,0.03200628,-54.28174,0.18377963,-0.07788351166593693,-0.13154636703918793,0.12833746811328386,-0.005683884094062392,-0.03149754627020435
1685,0.3035523,-58.65146,0.03335202,-140.7253,0.29096168,0.1589997198717362,-0.13346262155471703,-0.25854676148844874,0.00915473866212542,0.03207098374089243
1687,0.4955743,-44.70665,0.04299209,-24.30956,0.53140074,0.32939368068426184,0.005441367032167638,-0.5313728803743833,-0.003245654918969321,0.04286940082057446
